cluster_id	nematode_id_fraction	proteins
OG0000276	1.0	CPJJC.WP_025648449.1,CPMPRL4477.fig|195102.33.peg.2242,CPFORC.WP_003450531.1,CPWAL-14572.WP_003479328.1,CPJP838.WP_061429300.1,CBOT.YP_001385985,CPMPRL4716.fig|195102.30.peg.2512,CPJGS1987.WP_003463008.1,CPATCC3626.WP_003456720.1,CPMPRL3750.fig|195102.37.peg.2924,CPF262.WP_003472447.1,CPMJR7757A.WP_060794496.1,CPATCC13124.WP_003463008.1,CPCP4.WP_003463008.1,CP1207.WP_049039662.1,CPJP55.WP_003463008.1,CP13.WP_011010948.1,CPMPRL4782.fig|195102.31.peg.2537,CPJGS1721.WP_003473569.1,CPSM101.WP_011593225.1,CPMPRL4450.fig|195102.34.peg.2138,CPMPRL4725.fig|195102.36.peg.2416,CPMPRL4350.fig|195102.38.peg.2370,CPJGS1495.WP_003450531.1,CPNCTC8239.WP_003472447.1,CPF4969.WP_003467855.1,CPMPRL4492.fig|195102.32.peg.2338
OG0000277	1.0	CPSM101.WP_011593226.1,CP1207.WP_003467860.1,CBOT.YP_001385986,CPJP838.WP_061429301.1,CPMPRL4716.fig|195102.30.peg.2513,CPMPRL3750.fig|195102.37.peg.2925,CPJP55.WP_003467860.1,CPMJR7757A.WP_060794495.1,CPATCC13124.WP_003456770.1,CPCP4.WP_057232203.1,CPWAL-14572.WP_003479330.1,CPJGS1987.WP_003462952.1,CPMPRL4725.fig|195102.36.peg.2417,CPJGS1721.WP_003456770.1,CPF4969.WP_003467860.1,CPMPRL4782.fig|195102.31.peg.2538,CP13.WP_011010949.1,CPF262.WP_003472420.1,CPATCC3626.WP_003456770.1,CPJJC.WP_003472420.1,CPNCTC8239.WP_003472420.1,CPMPRL4450.fig|195102.34.peg.2139,CPMPRL4477.fig|195102.33.peg.2243,CPMPRL4350.fig|195102.38.peg.2371,CPJGS1495.WP_003450724.1,CPFORC.WP_060671207.1,CPMPRL4492.fig|195102.32.peg.2339
OG0000278	1.0	CPSM101.WP_011591217.1,CPATCC3626.WP_003458165.1,CP13.WP_011009580.1,CPNCTC8239.WP_003472656.1,CBOT.YP_001385989,CPJGS1495.WP_003450857.1,CPMPRL4350.fig|195102.38.peg.2900,CPJGS1721.WP_003450857.1,CPMPRL4477.fig|195102.33.peg.22,CPMPRL4716.fig|195102.30.peg.2925,CPJP55.WP_003463564.1,CPMPRL4725.fig|195102.36.peg.3056,CPCP4.WP_003463564.1,CPWAL-14572.WP_003450857.1,CPMJR7757A.WP_003463564.1,CPMPRL4492.fig|195102.32.peg.556,CPJJC.WP_003458165.1,CPATCC13124.WP_003450857.1,CPMPRL4450.fig|195102.34.peg.2673,CPJGS1987.WP_003463564.1,CPF4969.WP_003468585.1,CPMPRL3750.fig|195102.37.peg.441,CPJP838.WP_003450857.1,CPMPRL4782.fig|195102.31.peg.3260,CPF262.WP_003463564.1,CPFORC.WP_003450857.1,CP1207.WP_049039615.1
OG0000279	1.0	CPF4969.WP_003468671.1,CPJP55.WP_003479629.1,CPMPRL4450.fig|195102.34.peg.2687,CPSM101.WP_011591233.1,CPMPRL4716.fig|195102.30.peg.2943,CPMPRL3750.fig|195102.37.peg.456,CPJGS1495.WP_003450899.1,CPFORC.WP_060669408.1,CPF262.WP_003479845.1,CPJP838.WP_061426048.1,CPMJR7757A.WP_003479629.1,CPWAL-14572.WP_003479629.1,CPATCC13124.WP_003479629.1,CP1207.WP_003468671.1,CPCP4.WP_003479629.1,CPMPRL4492.fig|195102.32.peg.570,CBOT.YP_001385990,CPATCC3626.WP_003458230.1,CPJGS1987.WP_004456760.1,CPMPRL4350.fig|195102.38.peg.2914,CPMPRL4782.fig|195102.31.peg.3278,CPMPRL4477.fig|195102.33.peg.37,CPMPRL4725.fig|195102.36.peg.3071,CPNCTC8239.WP_003458230.1,CPJJC.WP_003468671.1,CP13.WP_003468671.1,CPJGS1721.WP_003474874.1
OG0000280	1.0	CPSM101.WP_003458189.1,CPMPRL4450.fig|195102.34.peg.2688,CPJGS1495.WP_003458189.1,CPMJR7757A.WP_003458189.1,CPJGS1987.WP_003458189.1,CPCP4.WP_003458189.1,CPATCC3626.WP_003458189.1,CPMPRL3750.fig|195102.37.peg.457,CPJP55.WP_003458189.1,CPWAL-14572.WP_003458189.1,CPMPRL4716.fig|195102.30.peg.2944,CP1207.WP_003458189.1,CPATCC13124.WP_003458189.1,CPFORC.WP_003458189.1,CPJGS1721.WP_003458189.1,CPF262.WP_003458189.1,CPMPRL4492.fig|195102.32.peg.571,CPNCTC8239.WP_003458189.1,CBOT.YP_001385991,CPMPRL4350.fig|195102.38.peg.2915,CPMPRL4782.fig|195102.31.peg.3279,CPJJC.WP_003458189.1,CPMPRL4725.fig|195102.36.peg.3072,CPJP838.WP_003458189.1,CP13.WP_003458189.1,CPF4969.WP_003458189.1,CPMPRL4477.fig|195102.33.peg.38
OG0000281	1.0	CPMJR7757A.WP_003450875.1,CPJGS1987.WP_003450875.1,CPMPRL4450.fig|195102.34.peg.2689,CPJP55.WP_003450875.1,CPMPRL4350.fig|195102.38.peg.2916,CPNCTC8239.WP_003450875.1,CPMPRL4716.fig|195102.30.peg.2945,CP1207.WP_003450875.1,CP13.WP_003450875.1,CPMPRL3750.fig|195102.37.peg.458,CPJGS1721.WP_003450875.1,CPJGS1495.WP_003450875.1,CPJJC.WP_025649124.1,CPCP4.WP_003450875.1,CPMPRL4782.fig|195102.31.peg.3280,CPSM101.WP_003450875.1,CPMPRL4492.fig|195102.32.peg.572,CPFORC.WP_003450875.1,CBOT.YP_001385992,CPATCC3626.WP_003450875.1,CPWAL-14572.WP_003450875.1,CPF4969.WP_003450875.1,CPMPRL4725.fig|195102.36.peg.3073,CPMPRL4477.fig|195102.33.peg.39,CPJP838.WP_061426049.1,CPATCC13124.WP_003450875.1,CPF262.WP_003450875.1
OG0000282	1.0	CP13.WP_003450842.1,CPF262.WP_003450842.1,CPMPRL4350.fig|195102.38.peg.2917,CPJP55.WP_003450842.1,CPMPRL4716.fig|195102.30.peg.2946,CPFORC.WP_003450842.1,CP1207.WP_003450842.1,CPJGS1495.WP_003450842.1,CPMPRL3750.fig|195102.37.peg.459,CPMPRL4782.fig|195102.31.peg.3281,CPCP4.WP_003450842.1,CPNCTC8239.WP_003450842.1,CPMPRL4492.fig|195102.32.peg.573,CBOT.YP_001385993,CPMPRL4477.fig|195102.33.peg.40,CPWAL-14572.WP_003450842.1,CPJGS1987.WP_003450842.1,CPATCC3626.WP_003450842.1,CPMPRL4725.fig|195102.36.peg.3074,CPSM101.WP_011591234.1,CPF4969.WP_003450842.1,CPMJR7757A.WP_003450842.1,CPJP838.WP_003450842.1,CPMPRL4450.fig|195102.34.peg.2690,CPATCC13124.WP_003450842.1,CPJGS1721.WP_003450842.1,CPJJC.WP_003450842.1
OG0000283	1.0	CPMPRL4350.fig|195102.38.peg.2918,CP1207.WP_003468693.1,CPATCC13124.WP_003450885.1,CPJGS1495.WP_003450885.1,CPMPRL4477.fig|195102.33.peg.41,CPFORC.WP_060669409.1,CPMPRL4716.fig|195102.30.peg.2947,CPSM101.WP_003450885.1,CP13.WP_003468693.1,CPF262.WP_003450885.1,CPF4969.WP_003468693.1,CPMPRL4782.fig|195102.31.peg.3282,CPNCTC8239.WP_003450885.1,CPMPRL4492.fig|195102.32.peg.574,CPCP4.WP_003450885.1,CPJP838.WP_003450885.1,CBOT.YP_001385994,CPJGS1987.WP_003468693.1,CPJP55.WP_061414186.1,CPMJR7757A.WP_003450885.1,CPJJC.WP_003468693.1,CPMPRL4725.fig|195102.36.peg.3075,CPMPRL3750.fig|195102.37.peg.460,CPMPRL4450.fig|195102.34.peg.2691,CPJGS1721.WP_003450885.1,CPWAL-14572.WP_003450885.1,CPATCC3626.WP_003458210.1
OG0000284	1.0	CPJP838.WP_061426512.1,CPJGS1495.WP_003448718.1,CPJJC.WP_025648611.1,CPMPRL4450.fig|195102.34.peg.2700,CP13.WP_011009916.1,CPMPRL4725.fig|195102.36.peg.1382,CPJGS1987.WP_003460225.1,CPFORC.WP_060669679.1,CPMPRL4477.fig|195102.33.peg.1512,CPATCC3626.WP_003460225.1,CPJP55.WP_003460225.1,CPATCC13124.WP_003460225.1,CPMPRL4492.fig|195102.32.peg.1285,CPF4969.WP_003469644.1,CPF262.WP_003460225.1,CPMPRL3750.fig|195102.37.peg.2458,CPNCTC8239.WP_004459674.1,CBOT.YP_001385995,CPWAL-14572.WP_003476872.1,CP1207.WP_004459674.1,CPMPRL4782.fig|195102.31.peg.2892,CPMJR7757A.WP_060795024.1,CPJGS1721.WP_004460409.1,CPSM101.WP_011591653.1,CPMPRL4350.fig|195102.38.peg.1391,CPCP4.WP_003460225.1,CPMPRL4716.fig|195102.30.peg.1055
OG0000285	1.0	CPJP55.WP_003460223.1,CPJJC.WP_003460223.1,CPWAL-14572.WP_003448766.1,CPF4969.WP_004458344.1,CPCP4.WP_003460223.1,CP1207.WP_003448766.1,CPMPRL4450.fig|195102.34.peg.2702,CP13.WP_041707664.1,CPMPRL4725.fig|195102.36.peg.1383,CPMPRL4477.fig|195102.33.peg.1513,CPMJR7757A.WP_060795025.1,CPJGS1721.WP_004460446.1,CPJGS1495.WP_003448766.1,CPMPRL4492.fig|195102.32.peg.1284,CPATCC13124.WP_003460223.1,CPJP838.WP_003448766.1,CBOT.YP_001385996,CPFORC.WP_003448766.1,CPF262.WP_003460223.1,CPATCC3626.WP_003460223.1,CPMPRL4782.fig|195102.31.peg.2893,CPNCTC8239.WP_003460223.1,CPJGS1987.WP_003460223.1,CPMPRL4350.fig|195102.38.peg.1392,CPSM101.WP_011591654.1,CPMPRL3750.fig|195102.37.peg.2459,CPMPRL4716.fig|195102.30.peg.1056
OG0000286	1.0	CPJGS1495.WP_003451778.1,CPJGS1987.WP_003463200.1,CPF4969.WP_003455000.1,CPF262.WP_003455000.1,CPATCC13124.WP_003455000.1,CPWAL-14572.WP_003478555.1,CPMPRL4725.fig|195102.36.peg.1237,CPMPRL4782.fig|195102.31.peg.1987,CPCP4.WP_003455000.1,CPJP838.WP_003463200.1,CPMPRL4450.fig|195102.34.peg.1649,CPMPRL3750.fig|195102.37.peg.1820,CPMPRL4492.fig|195102.32.peg.1474,CPJJC.WP_003455000.1,CPMPRL4716.fig|195102.30.peg.695,CPMPRL4350.fig|195102.38.peg.1246,CPATCC3626.WP_003455000.1,CPMJR7757A.WP_060794702.1,CBOT.YP_001385998,CP1207.WP_003455000.1,CPMPRL4477.fig|195102.33.peg.1376,CPFORC.WP_060670968.1,CPJGS1721.WP_003473254.1,CPNCTC8239.WP_003455000.1,CP13.WP_011010759.1,CPSM101.WP_011592908.1,CPJP55.WP_003455000.1
OG0000287	1.0	CPMPRL4350.fig|195102.38.peg.2920,CPCP4.WP_003450880.1,CPMPRL3750.fig|195102.37.peg.462,CPMJR7757A.WP_003450880.1,CPWAL-14572.WP_003450880.1,CPJGS1987.WP_003450880.1,CPMPRL4716.fig|195102.30.peg.2949,CPMPRL4477.fig|195102.33.peg.43,CPF262.WP_003450880.1,CPNCTC8239.WP_003450880.1,CP13.WP_003450880.1,CP1207.WP_003450880.1,CPATCC13124.WP_003450880.1,CPMPRL4782.fig|195102.31.peg.3284,CPJJC.WP_003450880.1,CPMPRL4492.fig|195102.32.peg.576,CPSM101.WP_003450880.1,CPFORC.WP_003450880.1,CBOT.YP_001385999,CPJGS1495.WP_003450880.1,CPMPRL4725.fig|195102.36.peg.3077,CPATCC3626.WP_003450880.1,CPJP838.WP_003450880.1,CPMPRL4450.fig|195102.34.peg.2693,CPJP55.WP_003450880.1,CPJGS1721.WP_003450880.1,CPF4969.WP_003450880.1
OG0000288	1.0	CP1207.WP_003468633.1,CPMPRL4350.fig|195102.38.peg.2926,CPMPRL4782.fig|195102.31.peg.3290,CPMPRL3750.fig|195102.37.peg.468,CPF262.WP_003450981.1,CPATCC3626.WP_003450981.1,CPATCC13124.WP_003450981.1,CPMJR7757A.WP_003450981.1,CPJP838.WP_003450981.1,CPMPRL4725.fig|195102.36.peg.3083,CPMPRL4492.fig|195102.32.peg.579,CPCP4.WP_003450981.1,CPSM101.WP_003450981.1,CPNCTC8239.WP_003472639.1,CPJGS1721.WP_003450981.1,CPF4969.WP_003468633.1,CPJGS1987.WP_003450981.1,CP13.WP_003450981.1,CBOT.YP_001386000,CPJP55.WP_003450981.1,CPMPRL4477.fig|195102.33.peg.46,CPMPRL4716.fig|195102.30.peg.2955,CPJGS1495.WP_003450981.1,CPFORC.WP_003450981.1,CPJJC.WP_025649126.1,CPMPRL4450.fig|195102.34.peg.2696,CPWAL-14572.WP_003450981.1
OG0000289	1.0	CPJP838.WP_003472591.1,CPATCC13124.WP_003472591.1,CPMPRL4350.fig|195102.38.peg.2927,CPMPRL4782.fig|195102.31.peg.3291,CP1207.WP_003458175.1,CPFORC.WP_003472591.1,CPJJC.WP_003472591.1,CPWAL-14572.WP_003479621.1,CPF262.WP_003458175.1,CPMPRL4492.fig|195102.32.peg.580,CPMPRL4477.fig|195102.33.peg.47,CPMPRL4725.fig|195102.36.peg.3084,CPJGS1987.WP_004456765.1,CPF4969.WP_003458175.1,CPMPRL4450.fig|195102.34.peg.2697,CPATCC3626.WP_003458175.1,CBOT.YP_001386001,CPJP55.WP_003472591.1,CPMPRL4716.fig|195102.30.peg.2956,CPMPRL3750.fig|195102.37.peg.469,CP13.WP_003472591.1,CPMJR7757A.WP_003458175.1,CPJGS1495.WP_003450920.1,CPJGS1721.WP_003472591.1,CPCP4.WP_057230326.1,CPSM101.WP_011591239.1,CPNCTC8239.WP_003472591.1
OG0000291	1.0	CPJP838.WP_061429257.1,CPSM101.WP_011593169.1,CP1207.WP_049039901.1,CPMPRL4477.fig|195102.33.peg.100,CPJP55.WP_049039901.1,CPATCC13124.WP_011591138.1,CPMPRL4450.fig|195102.34.peg.2766,CPMPRL3750.fig|195102.37.peg.1029,CPCP4.WP_049039901.1,CPF4969.WP_003469595.1,CP13.WP_041707936.1,CPFORC.WP_060671155.1,CPJGS1987.WP_003464574.1,CPMPRL4492.fig|195102.32.peg.1179,CPF262.WP_003472833.1,CPMJR7757A.WP_060795059.1,CBOT.YP_001386008,CPJGS1495.WP_003452207.1,CPWAL-14572.WP_003479267.1,CPNCTC8239.WP_003472833.1,CPMPRL4782.fig|195102.31.peg.2891,CPMPRL4725.fig|195102.36.peg.2765,CPJJC.WP_025648634.1,CPATCC3626.WP_003459306.1,CPJGS1721.WP_003475370.1,CPMPRL4716.fig|195102.30.peg.1053,CPMPRL4350.fig|195102.38.peg.37
OG0000292	1.0	CPF4969.WP_003459363.1,CPCP4.WP_003459363.1,CPMPRL4725.fig|195102.36.peg.2764,CPJP838.WP_061429256.1,CPJGS1721.WP_003459363.1,CPFORC.WP_003459363.1,CPF262.WP_003459363.1,CPATCC13124.WP_003459363.1,CPMPRL3750.fig|195102.37.peg.1028,CPMPRL4450.fig|195102.34.peg.2765,CPMPRL4492.fig|195102.32.peg.1178,CP1207.WP_003459363.1,CPSM101.WP_003452240.1,CPJGS1987.WP_003459363.1,CBOT.YP_001386009,CPATCC3626.WP_003459363.1,CPJP55.WP_003459363.1,CPNCTC8239.WP_003459363.1,CPMPRL4782.fig|195102.31.peg.2890,CPMPRL4350.fig|195102.38.peg.36,CPJJC.WP_025648635.1,CPMPRL4477.fig|195102.33.peg.99,CPMJR7757A.WP_003459363.1,CPMPRL4716.fig|195102.30.peg.1052,CPWAL-14572.WP_003459363.1,CP13.WP_003459363.1,CPJGS1495.WP_003452240.1
OG0000293	1.0	CPJGS1987.WP_003459375.1,CPJP838.WP_060795058.1,CP1207.WP_049039905.1,CBOT.YP_001386010,CPMPRL4450.fig|195102.34.peg.2764,CPF4969.WP_003459375.1,CPMPRL4782.fig|195102.31.peg.2889,CPWAL-14572.WP_003459375.1,CPMPRL3750.fig|195102.37.peg.1027,CPJP55.WP_003459375.1,CPMPRL4492.fig|195102.32.peg.1177,CPSM101.WP_011593168.1,CP13.WP_003459375.1,CPATCC13124.WP_003459375.1,CPMJR7757A.WP_060795058.1,CPJGS1721.WP_003459375.1,CPF262.WP_003459375.1,CPCP4.WP_003459375.1,CPFORC.WP_003459375.1,CPATCC3626.WP_003459375.1,CPNCTC8239.WP_003459375.1,CPMPRL4350.fig|195102.38.peg.35,CPJGS1495.WP_003452245.1,CPMPRL4725.fig|195102.36.peg.2763,CPMPRL4716.fig|195102.30.peg.1051,CPJJC.WP_003459375.1,CPMPRL4477.fig|195102.33.peg.98
OG0000294	1.0	CPATCC3626.WP_003452260.1,CPJGS1495.WP_003452260.1,CP1207.WP_003452260.1,CPCP4.WP_003452260.1,CPF262.WP_003452260.1,CPMPRL4350.fig|195102.38.peg.33,CPMPRL4450.fig|195102.34.peg.2762,CBOT.YP_001386011,CPJJC.WP_025648637.1,CPATCC13124.WP_003452260.1,CPMPRL3750.fig|195102.37.peg.1025,CPMPRL4782.fig|195102.31.peg.2887,CPMPRL4492.fig|195102.32.peg.1175,CPNCTC8239.WP_003472816.1,CPFORC.WP_060671153.1,CPMPRL4716.fig|195102.30.peg.1049,CPF4969.WP_003452260.1,CPMJR7757A.WP_003452260.1,CPJGS1987.WP_003452260.1,CP13.WP_003452260.1,CPJP55.WP_003452260.1,CPMPRL4725.fig|195102.36.peg.2761,CPJGS1721.WP_003452260.1,CPMPRL4477.fig|195102.33.peg.96,CPWAL-14572.WP_003452260.1,CPJP838.WP_003452260.1,CPSM101.WP_003452260.1
